context,target,split
"after this the man returned ,",young,train
"this the young returned , bearing",man,train
"the young man , bearing on",returned,train
young man returned bearing on his,",",train
"man returned , on his shoulders",bearing,train
"returned , bearing his shoulders a",on,train
", bearing on shoulders a load",his,train
bearing on his a load of,shoulders,train
on his shoulders load of wood,a,train
his shoulders a of wood .,load,train
shoulders a load wood . ,of,train
a load of . ,wood,train
load of wood ,.,train
of wood .,,train
girl met him,the,train
the met him at,girl,train
the girl him at the,met,train
the girl met at the door,him,train
"girl met him the door ,",at,train
"met him at door , helped",the,train
"him at the , helped to",door,train
at the door helped to relieve,",",train
"the door , to relieve him",helped,train
"door , helped relieve him of",to,train
", helped to him of his",relieve,train
helped to relieve of his burden,him,train
"to relieve him his burden ,",of,train
"relieve him of burden , and",his,train
"him of his , and taking",burden,train
of his burden and taking some,",",train
"his burden , taking some of",and,train
"burden , and some of the",taking,train
", and taking of the fuel",some,train
and taking some the fuel into,of,train
taking some of fuel into the,the,train
some of the into the cottage,fuel,train
"of the fuel the cottage ,",into,train
"the fuel into cottage , placed",the,train
"fuel into the , placed it",cottage,train
into the cottage placed it on,",",train
"the cottage , it on the",placed,train
"cottage , placed on the fire",it,train
", placed it the fire then",on,train
placed it on fire then she,the,train
it on the then she and,fire,train
on the fire she and the,then,train
the fire then and the youth,she,train
fire then she the youth went,and,train
then she and youth went apart,the,train
she and the went apart into,youth,train
and the youth apart into a,went,train
the youth went into a nook,apart,train
youth went apart a nook of,into,train
went apart into nook of the,a,train
apart into a of the cottage,nook,train
"into a nook the cottage ,",of,train
"a nook of cottage , and",the,train
"nook of the , and he",cottage,train
of the cottage and he showed,",",train
"the cottage , he showed her",and,train
"cottage , and showed her a",he,train
", and he her a large",showed,train
and he showed a large loaf,her,train
he showed her large loaf and,a,train
showed her a loaf and a,large,train
her a large and a piece,loaf,train
a large loaf a piece of,and,train
large loaf and piece of cheese,a,train
loaf and a of cheese .,piece,train
and a piece cheese . ,of,train
a piece of . ,cheese,train
piece of cheese ,.,train
of cheese .,,train
seemed pleased and,she,train
she pleased and went,seemed,train
she seemed and went into,pleased,train
she seemed pleased went into the,and,train
seemed pleased and into the garden,went,train
pleased and went the garden for,into,train
and went into garden for some,the,train
went into the for some roots,garden,train
into the garden some roots and,for,train
the garden for roots and plants,some,train
"garden for some and plants ,",roots,train
"for some roots plants , which",and,train
"some roots and , which she",plants,train
roots and plants which she placed,",",train
"and plants , she placed in",which,train
"plants , which placed in water",she,train
", which she in water ,",placed,train
"which she placed water , and",in,train
"she placed in , and then",water,train
placed in water and then upon,",",train
"in water , then upon the",and,train
"water , and upon the fire",then,train
", and then the fire .",upon,train
and then upon fire . ,the,train
then upon the . ,fire,train
upon the fire ,.,train
the fire .,,train
afterwards continued her,she,train
she continued her work,afterwards,train
"she afterwards her work ,",continued,train
"she afterwards continued work , whilst",her,train
"afterwards continued her , whilst the",work,train
continued her work whilst the young,",",train
"her work , the young man",whilst,train
"work , whilst young man went",the,train
", whilst the man went into",young,train
whilst the young went into the,man,train
the young man into the garden,went,train
young man went the garden and,into,train
man went into garden and appeared,the,train
went into the and appeared busily,garden,train
into the garden appeared busily employed,and,train
the garden and busily employed in,appeared,train
garden and appeared employed in digging,busily,train
and appeared busily in digging and,employed,train
appeared busily employed digging and pulling,in,train
busily employed in and pulling up,digging,train
employed in digging pulling up roots,and,train
in digging and up roots .,pulling,train
digging and pulling roots . ,up,train
and pulling up . ,roots,train
pulling up roots ,.,train
up roots .,,train
he had been,after,train
after had been employed,he,train
after he been employed thus,had,train
after he had employed thus about,been,train
he had been thus about an,employed,train
had been employed about an hour,thus,train
"been employed thus an hour ,",about,train
"employed thus about hour , the",an,train
"thus about an , the young",hour,train
about an hour the young woman,",",train
"an hour , young woman joined",the,train
"hour , the woman joined him",young,train
", the young joined him and",woman,train
the young woman him and they,joined,train
young woman joined and they entered,him,train
woman joined him they entered the,and,train
joined him and entered the cottage,they,train
him and they the cottage together,entered,train
and they entered cottage together .,the,train
they entered the together . ,cottage,train
entered the cottage . ,together,train
the cottage together ,.,train
cottage together .,,train
the old man,,train
 old man had,the,train
" the man had ,",old,train
" the old had , in",man,train
"the old man , in the",had,train
old man had in the meantime,",",train
"man had , the meantime ,",in,train
"had , in meantime , been",the,train
", in the , been pensive",meantime,train
"in the meantime been pensive ,",",",train
"the meantime , pensive , but",been,train
"meantime , been , but on",pensive,train
", been pensive but on the",",",train
"been pensive , on the appearance",but,train
"pensive , but the appearance of",on,train
", but on appearance of his",the,train
but on the of his companions,appearance,train
on the appearance his companions he,of,train
the appearance of companions he assumed,his,train
appearance of his he assumed a,companions,train
of his companions assumed a more,he,train
his companions he a more cheerful,assumed,train
companions he assumed more cheerful air,a,train
